num_qubits,depth,entanglement,noise_type,error_rate,x_noisy,x_ideal
4,1,linear,depolarizing,0.001,-0.05386163402905158,-0.05612533233356813
4,1,linear,depolarizing,0.01,-0.03664312243319325,-0.05612533233356813
4,1,linear,depolarizing,0.1,-0.0062439727475990595,-0.05612533233356813
4,1,linear,amplitude_damping,0.001,-0.05652578124499483,-0.05612533233356813
4,1,linear,amplitude_damping,0.01,-0.059097918000479005,-0.05612533233356813
4,1,linear,amplitude_damping,0.1,-0.03251772461820654,-0.05612533233356813
4,1,linear,readout,0.001,-0.05612533233356813,-0.05612533233356813
4,1,linear,readout,0.01,-0.05612533233356813,-0.05612533233356813
4,1,linear,readout,0.1,-0.05612533233356813,-0.05612533233356813
4,1,full,depolarizing,0.001,-0.13928916417309703,-0.14943499397737328
4,1,full,depolarizing,0.01,-0.07239905199237877,-0.14943499397737328
4,1,full,depolarizing,0.1,-0.005578702916604797,-0.14943499397737328
4,1,full,amplitude_damping,0.001,-0.1475464202644423,-0.14943499397737328
4,1,full,amplitude_damping,0.01,-0.1311690451065543,-0.14943499397737328
4,1,full,amplitude_damping,0.1,-0.02436083732901325,-0.14943499397737328
4,1,full,readout,0.001,-0.14943499397737334,-0.14943499397737328
4,1,full,readout,0.01,-0.14943499397737334,-0.14943499397737328
4,1,full,readout,0.1,-0.14943499397737334,-0.14943499397737328
4,1,pairwise,depolarizing,0.001,-0.4400394390740118,-0.4595091750904907
4,1,pairwise,depolarizing,0.01,-0.29356034601367964,-0.4595091750904907
4,1,pairwise,depolarizing,0.1,-0.0396695128547702,-0.4595091750904907
4,1,pairwise,amplitude_damping,0.001,-0.4590699511949216,-0.4595091750904907
4,1,pairwise,amplitude_damping,0.01,-0.4546218049832657,-0.4595091750904907
4,1,pairwise,amplitude_damping,0.1,-0.3660033670605516,-0.4595091750904907
4,1,pairwise,readout,0.001,-0.45950917509049083,-0.4595091750904907
4,1,pairwise,readout,0.01,-0.45950917509049083,-0.4595091750904907
4,1,pairwise,readout,0.1,-0.45950917509049083,-0.4595091750904907
4,2,linear,depolarizing,0.001,0.07641331438672166,0.08039857500671538
4,2,linear,depolarizing,0.01,0.047529231478417706,0.08039857500671538
4,2,linear,depolarizing,0.1,0.005277907617832978,0.08039857500671538
4,2,linear,amplitude_damping,0.001,0.07826443274870352,0.08039857500671538
4,2,linear,amplitude_damping,0.01,0.06126538142288309,0.08039857500671538
4,2,linear,amplitude_damping,0.1,0.009407942381123021,0.08039857500671538
4,2,linear,readout,0.001,0.08039857500671557,0.08039857500671538
4,2,linear,readout,0.01,0.08039857500671557,0.08039857500671538
4,2,linear,readout,0.1,0.08039857500671557,0.08039857500671538
4,2,full,depolarizing,0.001,-0.17293664204353917,-0.19419436411256122
4,2,full,depolarizing,0.01,-0.05836124064051375,-0.19419436411256122
